Pallet: "claims", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [100], Repeat: 100
u,extrinsic_time,storage_root_time
80,28893000,7238000
80,28861000,6838000
80,29081000,6700000
80,29681000,6922000
80,31151000,7210000
80,29100000,6849000
80,29498000,6894000
80,28666000,6725000
80,29038000,6829000
80,30750000,6863000
80,28758000,6874000
80,28888000,6869000
80,28815000,6674000
80,32212000,6956000
80,28742000,6728000
80,29049000,6904000
80,28862000,6888000
80,28919000,6744000
80,30042000,7022000
80,28720000,6771000
80,28681000,6894000
80,30683000,6721000
80,29322000,6930000
80,32020000,7130000
80,30064000,6997000
80,28625000,6841000
80,30609000,6943000
80,28426000,6797000
80,29759000,6896000
80,29715000,6973000
80,28813000,6918000
80,33556000,7104000
80,35314000,8380000
80,32395000,7467000
80,36167000,8486000
80,32897000,7222000
80,35740000,8398000
80,38766000,8514000
80,35461000,8511000
80,35066000,8417000
80,34797000,8172000
80,36434000,8582000
80,35497000,8399000
80,34871000,8417000
80,35410000,8209000
80,32275000,7951000
80,36023000,8500000
80,36152000,8711000
80,35462000,8545000
80,33982000,7095000
80,31112000,7436000
80,36397000,8553000
80,35421000,8396000
80,36292000,8390000
80,34695000,6804000
80,28908000,6768000
80,33832000,8092000
80,31372000,7228000
80,29225000,7000000
80,29954000,6792000
80,29888000,6959000
80,30081000,6781000
80,27814000,6663000
80,29273000,7269000
80,30550000,6827000
80,35355000,9059000
80,49228000,11295000
80,43832000,9530000
80,36540000,8344000
80,35911000,8377000
80,34745000,8387000
80,36404000,8398000
80,42672000,9675000
90,37735000,10044000
90,39034000,8918000
90,38861000,8408000
90,35945000,8517000
90,36226000,8432000
90,34966000,8523000
90,34960000,8493000
90,34650000,8817000
90,35988000,8432000
90,33951000,6824000
90,31138000,6794000
90,32035000,8550000
90,32965000,7445000
90,32290000,7291000
90,31637000,6996000
90,28684000,6799000
90,29212000,7052000
90,31750000,7252000
90,30338000,7117000
90,36892000,8719000
90,33555000,7098000
90,31524000,7788000
90,30931000,7091000
90,30075000,7355000
90,29226000,7290000
90,30479000,7017000
90,37604000,10538000
90,39088000,9093000
90,34938000,8379000
90,35479000,8613000
90,35388000,8365000
90,35737000,8358000
90,39071000,10995000
90,42461000,10782000
90,47870000,11333000
90,50092000,12287000
90,36549000,8399000
90,37380000,9084000
90,35800000,8800000
90,37227000,8682000
90,35639000,8590000
90,32849000,7176000
90,37224000,8408000
90,36522000,9069000
90,36210000,9155000
90,33972000,7091000
90,30847000,6954000
90,28610000,6781000
90,28527000,6651000
90,30267000,6952000
90,30348000,6965000
90,32339000,7904000
90,33106000,7522000
90,33312000,6969000
90,29927000,7444000
90,31784000,7870000
90,41751000,10217000
90,44218000,8634000
90,34357000,7166000
90,32189000,8256000
90,30831000,7115000
90,32652000,7064000
90,35035000,7802000
90,31139000,7036000
90,28867000,6958000
90,29516000,7355000
90,30094000,7877000
90,33420000,7807000
90,33951000,7271000
90,33003000,6773000
90,29141000,6866000
90,29473000,6810000
90,29773000,6828000
90,33858000,9333000
90,41201000,10806000
90,40883000,9346000
90,39389000,8968000
90,35246000,7863000
90,32156000,6992000
90,31460000,7230000
90,29320000,6963000
90,30329000,7093000
90,29884000,7028000
90,29868000,6779000
90,30313000,6637000
90,28829000,8352000
90,28102000,6776000
90,31634000,7020000
90,32262000,7184000
90,31280000,6773000
90,28680000,6822000
90,28493000,6792000
90,28854000,6986000
90,30586000,7456000
90,29995000,7088000
90,32685000,9618000
90,34972000,7694000
90,32825000,6975000
90,31392000,7390000
90,33484000,7126000
100,31112000,6267000
100,27645000,5817000
100,28321000,5816000
100,28486000,6655000
100,32289000,6296000
100,29926000,6136000
100,31989000,6061000
100,30229000,6111000
100,30137000,6224000
100,28781000,5829000
100,28713000,6204000
100,31522000,6183000
100,32053000,6316000
100,30913000,7083000
100,29556000,5831000
100,29059000,5864000
100,27727000,5984000
100,27564000,5722000
100,27420000,5706000
100,29232000,5864000
100,28939000,5946000
100,32117000,5863000
100,28281000,5867000
100,27988000,5876000
100,29594000,6057000
100,29842000,5934000
100,28323000,5863000
100,28842000,5968000
100,31366000,6714000
100,32559000,6234000
100,29882000,5827000
100,28656000,6042000
100,30984000,6115000
100,31329000,5991000
100,32134000,6201000
100,29975000,6947000
100,30793000,7117000
100,32591000,6072000
100,31460000,6037000
100,31731000,5838000
100,35094000,7305000
100,35094000,7475000
100,35768000,7684000
100,35524000,8309000
100,34739000,7068000
100,32833000,8030000
100,35551000,7398000
100,33387000,6131000
100,30160000,6167000
100,33510000,6684000
100,34533000,6401000
100,33758000,7371000
100,29723000,5904000
100,28861000,5840000
100,29111000,6722000
100,32603000,7022000
100,32602000,7853000
100,29914000,6017000
100,28119000,5830000
100,33980000,7733000
100,32361000,6053000
100,29523000,6240000
100,27662000,5808000
100,30921000,5904000
100,53417000,9000000
100,36016000,7347000
100,36190000,7471000
100,33107000,7715000
100,35512000,7706000
100,34641000,7429000
100,35605000,7495000
100,35009000,7146000
100,35584000,7635000
100,36213000,7548000
100,35487000,7132000
100,35745000,7152000
100,34724000,7459000
100,34081000,5846000
100,36267000,7430000
100,36303000,7668000
100,35294000,7373000
100,35646000,7435000
100,35260000,7368000
100,35110000,7455000
100,35362000,7310000
100,29080000,5936000
100,30969000,6206000
100,35854000,7315000
100,35335000,7377000
100,36638000,7514000
100,35610000,7459000
100,35325000,7932000
100,33421000,6440000
100,33480000,7235000
100,32979000,5932000
100,30960000,7142000
100,30023000,6211000
100,29616000,6221000
100,30278000,5835000
100,34846000,6501000
110,30571000,7541000
110,39457000,8441000
110,35776000,7877000
110,35466000,8947000
110,31189000,6970000
110,29976000,7054000
110,36644000,8436000
110,39088000,8695000
110,35482000,7270000
110,29537000,6836000
110,28952000,6768000
110,33381000,6846000
110,29767000,7269000
110,29201000,7234000
110,32005000,6899000
110,30995000,7035000
110,29311000,7855000
110,37939000,9445000
110,38934000,8560000
110,34001000,7167000
110,32135000,7691000
110,35773000,7720000
110,28612000,7046000
110,29899000,6825000
110,28903000,6734000
110,31547000,6818000
110,29590000,7066000
