Pallet: "balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
1000,982,154000,109000
1000,982,407000,222000
1000,982,151000,108000
1000,982,154000,110000
1000,982,148000,106000
1000,982,328000,105000
1000,982,148000,105000
1000,982,364000,106000
1000,982,148000,105000
1000,982,359000,108000

Median Slopes Analysis
========

Model:
Time ~=    424.3
    + u        0
    + e        0
              µs

Min Squares Analysis
========

Data points distribution:
    u     e   mean µs  sigma µs       %
    1  1000     366.2     7.573    2.0%
   50  1000     313.6     85.49   27.2%
   99  1000     307.9     85.74   27.8%
  148  1000     359.9      17.5    4.8%
  197  1000     375.5     18.87    5.0%
  246  1000     232.7     96.03   41.2%
  295  1000     368.6      11.1    3.0%
  344  1000     364.7     16.66    4.5%
  393  1000     335.6     58.16   17.3%
  442  1000     383.2     28.82    7.5%
  491  1000     304.5     83.07   27.2%
  540  1000     356.6     20.76    5.8%
  589  1000     292.6     93.02   31.7%
  638  1000       377     17.27    4.5%
  687  1000     279.5     89.03   31.8%
  736  1000     317.1     80.47   25.3%
  785  1000     359.8     34.27    9.5%
  834  1000     328.2     64.55   19.6%
  883  1000     652.9     436.2   66.8%
  932  1000       352     19.26    5.4%
  981  1000     270.5     95.45   35.2%
 1000     2     382.6     19.95    5.2%
 1000    51     372.2     22.84    6.1%
 1000   100     390.3     16.52    4.2%
 1000   149     385.9     16.35    4.2%
 1000   198     373.3      16.4    4.3%
 1000   247     332.6     58.99   17.7%
 1000   296       381     18.61    4.8%
 1000   345     354.1     11.56    3.2%
 1000   394     382.9      21.6    5.6%
 1000   443     349.6     4.882    1.3%
 1000   492     326.5     22.62    6.9%
 1000   541     378.5     19.47    5.1%
 1000   590       315     77.42   24.5%
 1000   639       243     91.04   37.4%
 1000   688       289     71.68   24.8%
 1000   737     253.9     92.31   36.3%
 1000   786     271.5     98.18   36.1%
 1000   835     275.2     83.23   30.2%
 1000   884     246.8     96.83   39.2%
 1000   933       369      16.1    4.3%
 1000   982     288.6     89.18   30.9%

Quality and confidence:
param     error
u          0.02
e          0.02

Model:
Time ~=    396.6
    + u        0
    + e        0
              µs

